SG_UF_NOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chi-squared test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,chi2,p,dof,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG_UF_NOT,103934.395,0,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
observed quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
binary_pred,11,12,13,14,15,16,17,21,22,23,24,25,26,27,28,29,31,32,33,35,41,42,43,50,51,52,53,,,,
0,171,811,522,410,714,81,963,339,593,2237,395,312,832,499,308,2489,20312,4851,1434,46959,9215,536,335,3351,1114,10199,3357,,,,
1,35,202,190,190,361,44,209,139,162,741,248,185,390,293,93,801,5216,1131,909,11534,2249,89,66,822,369,2397,448,,,,
2,276,1134,477,283,655,73,938,352,589,2219,598,1203,3019,932,591,3456,40811,4981,2837,44338,9200,646,450,4320,1331,12380,2782,,,,
3,145,369,432,221,285,46,1142,336,387,1437,1066,1309,2961,1602,948,2942,24109,3641,3073,46567,6194,289,217,3936,1166,4470,2385,,,,
4,150,1224,481,441,808,82,1208,490,619,2277,657,375,995,1019,339,2913,21627,4905,2895,51092,9564,571,369,3436,1417,9745,3005,,,,
5,44,267,337,67,216,30,215,84,178,713,288,166,190,267,90,836,5619,1380,410,12503,1961,85,96,1023,327,3373,604,,,,
6,121,1749,579,231,382,85,892,352,420,1604,494,509,1463,735,431,2487,18757,2676,1439,33026,5901,270,161,2262,990,6340,1255,,,,
7,343,5271,1526,904,1536,149,6867,1553,2185,6594,3128,4995,10709,6125,2596,13647,112617,22075,14509,144485,22659,1817,1309,19930,4415,29995,9878,,,,
8,114,450,262,174,269,73,912,357,351,1398,713,1571,4035,1512,1201,2282,15821,2509,1644,22604,5098,197,153,2483,940,4305,1586,,,,
9,40,528,115,44,66,36,815,103,255,351,225,194,721,817,159,563,26393,1602,769,21199,3471,69,34,1811,604,2617,498,,,,
10,53,75,69,43,107,18,229,75,126,418,401,250,318,290,130,795,7219,1520,1163,20825,2865,123,145,1094,256,2122,1053,,,,
11,151,2043,720,272,618,69,3020,761,1578,3247,1154,2623,6665,6500,1371,5008,51885,9003,5468,56859,9953,602,263,23141,2247,18032,2845,,,,
12,69,322,215,62,170,14,356,194,269,920,256,368,412,363,236,1029,10149,2175,527,24255,3499,223,129,1820,413,3580,983,,,,
table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,12,13,14,15,16,17,21,22,23,24,25,26,27,28,29,31,32,33,35,41,42,43,50,51,52,53,99,,,
percentage by columns,RO,AC,AM,RR,PA,AP,TO,MA,PI,CE,RN,PB,PE,AL,SE,BA,MG,ES,RJ,SP,PR,SC,RS,MS,MT,GO,DF,BR,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
binary_pred,11,12,13,14,15,16,17,21,22,23,24,25,26,27,28,29,31,32,33,35,41,42,43,50,51,52,53,,,,
0,10%,6%,9%,12%,12%,10%,5%,7%,8%,9%,4%,2%,3%,2%,4%,6%,6%,8%,4%,9%,10%,10%,9%,5%,7%,9%,11%,,,,
1,2%,1%,3%,6%,6%,6%,1%,3%,2%,3%,3%,1%,1%,1%,1%,2%,1%,2%,2%,2%,2%,2%,2%,1%,2%,2%,1%,,,,
2,16%,8%,8%,8%,11%,9%,5%,7%,8%,9%,6%,9%,9%,4%,7%,9%,11%,8%,8%,8%,10%,12%,12%,6%,9%,11%,9%,,,,
3,8%,3%,7%,7%,5%,6%,6%,7%,5%,6%,11%,9%,9%,8%,11%,7%,7%,6%,8%,9%,7%,5%,6%,6%,7%,4%,8%,,,,
4,9%,8%,8%,13%,13%,10%,7%,10%,8%,9%,7%,3%,3%,5%,4%,7%,6%,8%,8%,10%,10%,10%,10%,5%,9%,9%,10%,,,,
5,3%,2%,6%,2%,3%,4%,1%,2%,2%,3%,3%,1%,1%,1%,1%,2%,2%,2%,1%,2%,2%,2%,3%,1%,2%,3%,2%,,,,
6,7%,12%,10%,7%,6%,11%,5%,7%,5%,7%,5%,4%,4%,4%,5%,6%,5%,4%,4%,6%,6%,5%,4%,3%,6%,6%,4%,,,,
7,20%,36%,26%,27%,25%,19%,39%,30%,28%,27%,33%,36%,33%,29%,31%,35%,31%,35%,39%,27%,25%,33%,35%,29%,28%,27%,32%,,,,
8,7%,3%,4%,5%,4%,9%,5%,7%,5%,6%,7%,11%,12%,7%,14%,6%,4%,4%,4%,4%,6%,4%,4%,4%,6%,4%,5%,,,,
9,2%,4%,2%,1%,1%,5%,5%,2%,3%,1%,2%,1%,2%,4%,2%,1%,7%,3%,2%,4%,4%,1%,1%,3%,4%,2%,2%,,,,
10,3%,1%,1%,1%,2%,2%,1%,1%,2%,2%,4%,2%,1%,1%,2%,2%,2%,2%,3%,4%,3%,2%,4%,2%,2%,2%,3%,,,,
11,9%,14%,12%,8%,10%,9%,17%,15%,20%,13%,12%,19%,20%,31%,16%,13%,14%,14%,15%,11%,11%,11%,7%,33%,14%,16%,9%,,,,
12,4%,2%,4%,2%,3%,2%,2%,4%,3%,4%,3%,3%,1%,2%,3%,3%,3%,3%,1%,5%,4%,4%,3%,3%,3%,3%,3%,,,,
table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
percentage by index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
binary_pred,11,12,13,14,15,16,17,21,22,23,24,25,26,27,28,29,31,32,33,35,41,42,43,50,51,52,53,,,,
0,0.001508748,0.007155525,0.004605652,0.003617466,0.006299685,0.00071467,0.008496634,0.002991027,0.005232091,0.019737248,0.00348512,0.002752804,0.007340809,0.004402721,0.002717511,0.021960667,0.179214569,0.042800801,0.012652309,0.414323401,0.081304758,0.004729175,0.002955735,0.029566169,0.00982892,0.089986677,0.029619107,,,,
1,0.001185918,0.006844441,0.006437841,0.006437841,0.012231898,0.001490868,0.007081625,0.004709789,0.005489106,0.02510758,0.008403077,0.006268424,0.013214516,0.009927828,0.003151154,0.027140582,0.176735676,0.038322095,0.030799986,0.390810829,0.076203707,0.00301562,0.002236303,0.027852133,0.012502965,0.081218446,0.015179751,,,,
2,0.001959239,0.008049918,0.003386077,0.00200893,0.004649644,0.000518205,0.006658574,0.00249874,0.00418113,0.015752,0.004245018,0.008539728,0.021430955,0.006615982,0.004195328,0.024533083,0.289704765,0.03535859,0.020138992,0.314741856,0.065307977,0.004585756,0.003194412,0.030666354,0.009448361,0.087881821,0.019748564,,,,
3,0.001298411,0.003304231,0.003868368,0.001978957,0.002552048,0.00041191,0.010226103,0.003008731,0.003465413,0.012867696,0.009545556,0.011721513,0.026514439,0.014345198,0.008488919,0.026344303,0.215885382,0.032603537,0.027517349,0.416986792,0.055464518,0.002587867,0.001943139,0.035245131,0.010441012,0.040026864,0.021356615,,,,
4,0.001222454,0.009975225,0.003920003,0.003594015,0.006584952,0.000668275,0.00984483,0.00399335,0.00504466,0.018556852,0.005354349,0.003056135,0.008108945,0.008304538,0.002762746,0.023740057,0.176253423,0.039974247,0.023593363,0.416384144,0.077943669,0.004653475,0.003007237,0.028002347,0.011548116,0.079418764,0.024489829,,,,
5,0.001402659,0.008511588,0.01074309,0.002135867,0.006885779,0.000956358,0.0068539,0.002677803,0.005674392,0.022729446,0.009181039,0.005291849,0.006056935,0.008511588,0.002869075,0.026650515,0.179125889,0.043992477,0.013070229,0.398578214,0.062513947,0.002709682,0.003060346,0.032611814,0.010424304,0.107526539,0.019254678,,,,
6,0.00141337,0.020429618,0.00676315,0.002698251,0.004462043,0.000992863,0.010419222,0.004111621,0.004905912,0.01873591,0.005770287,0.005945498,0.017088925,0.008585345,0.0050344,0.029050005,0.219095677,0.031257665,0.016808588,0.385768184,0.068928058,0.0031538,0.001880599,0.026421838,0.011563935,0.074055904,0.014659331,,,,
7,0.000759157,0.011666228,0.003377474,0.00200081,0.003399606,0.00032978,0.015198631,0.003437232,0.004836029,0.014594404,0.006923157,0.011055361,0.023702074,0.013556373,0.005745689,0.030204707,0.249253569,0.048858277,0.032112559,0.319786551,0.050150835,0.00402154,0.002897191,0.044110779,0.009771655,0.066387498,0.021862834,,,,
8,0.001561344,0.006163202,0.003588353,0.002383105,0.003684225,0.000999808,0.012490755,0.004889473,0.004807297,0.019147013,0.00976525,0.021516422,0.055263374,0.020708357,0.0164489,0.03125428,0.216684471,0.034363273,0.02251623,0.309584463,0.069822226,0.002698113,0.002095489,0.034007177,0.012874243,0.058961295,0.021721862,,,,
9,0.000624035,0.008237258,0.0017941,0.000686438,0.001029657,0.000561631,0.012714707,0.001606889,0.003978221,0.005475904,0.003510195,0.003026568,0.011248225,0.012745909,0.002480538,0.008783288,0.411753694,0.02499259,0.011997067,0.330722788,0.054150611,0.00107646,0.000530429,0.028253171,0.009422924,0.04082747,0.007769232,,,,
10,0.001268489,0.001795031,0.001651429,0.001029151,0.002560911,0.000430808,0.005480829,0.001795031,0.003015653,0.010004308,0.009597434,0.005983438,0.007610933,0.006940788,0.003111388,0.019027332,0.172777751,0.036379302,0.027834953,0.498420372,0.068570198,0.002943851,0.003470394,0.026183524,0.00612704,0.05078742,0.02520224,,,,
11,0.000698757,0.009454044,0.003331822,0.001258688,0.002859814,0.0003193,0.013975141,0.00352155,0.007302243,0.01502559,0.00534017,0.012138011,0.030842488,0.030078946,0.006344344,0.023174671,0.240099399,0.041661654,0.025303335,0.263116734,0.046057807,0.002785773,0.00121704,0.107085674,0.01039806,0.083443623,0.013165323,,,,
12,0.00130169,0.006074555,0.004055992,0.001169635,0.003207063,0.000264111,0.006715967,0.003659825,0.005074706,0.017355871,0.00482946,0.006942348,0.007772412,0.006848023,0.004452158,0.019412164,0.191461666,0.041031542,0.009941896,0.457572442,0.066008904,0.004206912,0.002433595,0.03433444,0.007791277,0.067536976,0.018544371,,,,
table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
expected frequencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
binary_pred,11,12,13,14,15,16,17,21,22,23,24,25,26,27,28,29,31,32,33,35,41,42,43,50,51,52,53,,,,
0,126.4162929,1066.637471,437.5096586,246.7775998,456.8560773,59.07303407,1311.864404,379.1750375,569.4640485,1783.710264,710.5747586,1038.208574,2415.348681,1547.270445,627.134098,2898.123052,26622.37042,4611.314881,2737.813605,39597.09779,6780.772057,407.3824112,275.2064975,5126.727103,1151.11191,8089.68281,2265.377015,,,,
